constructorResultsId,points,raceId,constructorId
1,14,18,1
2,8,18,2
3,9,18,3
4,5,18,4
5,2,18,5
6,1,18,6
7,0,18,7
8,0,18,8
9,0,18,9
10,0,18,10
11,0,18,11
12,10,19,6
13,11,19,2
14,10,19,1
15,5,19,7
16,2,19,9
17,1,19,4
18,0,19,11
19,0,19,10
20,0,19,3
21,0,19,8
22,0,19,5
23,18,20,6
24,11,20,2
25,4,20,1
26,3,20,7
27,2,20,9
28,1,20,3
29,0,20,4
30,0,20,11
31,0,20,10
32,0,20,5
33,0,20,8
34,18,21,6
35,6,21,1
36,5,21,2
37,4,21,9
38,3,21,11
39,2,21,3
40,1,21,7
41,0,21,10
42,0,21,8
43,0,21,4
44,0,21,5
45,16,22,6
46,8,22,1
47,9,22,2
48,3,22,4
49,2,22,9
50,1,22,3
51,0,22,7
52,0,22,11
53,0,22,10
54,0,22,5
55,11,23,1
56,8,23,2
57,6,23,6
58,5,23,9
59,4,23,5
60,3,23,11
61,2,23,3
62,0,23,4
63,0,23,7
64,0,23,10
65,18,24,2
66,6,24,9
67,8,24,7
68,4,24,6
69,2,24,11
70,1,24,5
71,0,24,1
72,0,24,3
73,0,24,10
74,0,24,4
75,18,25,6
76,6,25,7
77,5,25,1
78,4,25,2
79,3,25,9
80,3,25,4
81,0,25,5
82,0,25,11
83,0,25,3
84,0,25,10
85,14,26,1
86,8,26,2
87,6,26,11
88,5,26,6
89,3,26,4
90,2,26,7
91,1,26,3
92,0,26,9
93,0,26,5
94,0,26,10
95,14,27,1
96,8,27,4
97,9,27,6
98,7,27,2
99,1,27,5
100,0,27,7
101,0,27,3
102,0,27,9
103,0,27,10
104,0,27,11
105,14,28,1
106,10,28,7
107,6,28,6
108,8,28,4
109,1,28,2
110,0,28,9
111,0,28,11
112,0,28,3
113,0,28,10
114,0,28,5
115,10,29,6
116,13,29,1
117,6,29,2
118,6,29,7
119,3,29,5
120,1,29,3
121,0,29,4
122,0,29,9
123,0,29,11
124,0,29,10
125,10,30,6
126,11,30,2
127,6,30,1
128,5,30,4
129,6,30,5
130,1,30,9
131,0,30,7
132,0,30,3
133,0,30,10
134,0,30,11
135,10,31,5
136,10,31,1
137,10,31,2
138,5,31,4
139,3,31,6
140,1,31,9
141,0,31,7
142,0,31,3
143,0,31,11
144,0,31,10
145,10,32,4
146,9,32,3
147,6,32,1
148,5,32,7
149,4,32,5
150,3,32,2
151,2,32,9
152,0,32,11
153,0,32,6
154,0,32,10
155,15,33,4
156,8,33,2
157,8,33,6
158,4,33,7
159,3,33,5
160,1,33,9
161,0,33,3
162,0,33,1
163,0,33,11
164,0,33,10
165,10,34,1
166,14,34,6
167,6,34,4
168,7,34,2
169,2,34,7
170,0,34,5
171,0,34,9
172,0,34,11
173,0,34,3
174,0,34,10
175,16,35,6
176,8,35,4
177,5,35,5
178,6,35,1
179,4,35,7
180,0,35,9
181,0,35,2
182,0,35,3
183,0,35,11
184,0,35,10
185,13,36,6
186,14,36,1
187,5,36,2
188,4,36,4
189,2,36,3
190,1,36,7
191,0,36,11
192,0,36,8
193,0,36,9
194,0,36,5
195,0,36,12
196,18,37,1
197,10,37,6
198,5,37,2
199,4,37,4
200,2,37,7
201,0,37,3
202,0,37,9
203,0,37,11
204,0,37,8
205,0,37,5
206,0,37,12
207,16,38,6
208,12,38,1
209,8,38,2
210,2,38,7
211,1,38,4
212,0,38,3
213,0,38,11
214,0,38,12
215,0,38,8
216,0,38,9
217,0,38,5
218,10,39,6
219,14,39,1
220,5,39,2
221,4,39,9
222,3,39,3
223,2,39,4
224,1,39,8
225,0,39,11
226,0,39,12
227,0,39,7
228,0,39,5
229,18,40,1
230,7,40,6
231,5,40,4
232,7,40,2
233,2,40,3
234,0,40,5
235,0,40,11
236,0,40,9
237,0,40,7
238,0,40,8
239,0,40,12
240,12,41,1
241,8,41,2
242,6,41,3
243,5,41,4
244,4,41,6
245,3,41,8
246,1,41,7
247,0,41,9
248,0,41,11
249,0,41,5
250,0,41,12
251,18,42,1
252,11,42,6
253,4,42,4
254,3,42,7
255,2,42,9
256,1,42,2
257,0,42,3
258,0,42,8
259,0,42,11
260,0,42,5
261,0,42,12
262,18,43,6
263,8,43,1
264,9,43,2
265,3,43,4
266,1,43,11
267,0,43,3
268,0,43,7
269,0,43,9
270,0,43,8
271,0,43,12
272,0,43,5
273,14,44,6
274,14,44,1
275,8,44,2
276,3,44,4
277,0,44,11
278,0,44,9
279,0,44,3
280,0,44,8
281,0,44,12
282,0,44,5
283,0,44,7
284,10,45,1
285,8,45,6
286,10,45,9
287,5,45,3
288,5,45,2
289,1,45,4
290,0,45,11
291,0,45,8
292,0,45,7
293,0,45,12
294,0,45,5
295,15,46,1
296,8,46,6
297,10,46,2
298,3,46,7
299,2,46,3
300,1,46,4
301,0,46,9
302,0,46,8
303,0,46,5
304,0,46,12
305,0,46,11
306,18,47,6
307,10,47,1
308,6,47,2
309,3,47,4
310,2,47,3
311,0,47,9
312,0,47,7
313,0,47,11
314,0,47,8
315,0,47,5
316,0,47,12
317,18,48,1
318,6,48,6
319,9,48,2
320,3,48,3
321,2,48,4
322,1,48,11
323,0,48,9
324,0,48,7
325,0,48,8
326,0,48,5
327,0,48,12
328,18,49,6
329,11,49,1
330,4,49,2
331,3,49,3
332,2,49,9
333,1,49,4
334,0,49,7
335,0,49,5
336,0,49,11
337,0,49,12
338,0,49,8
339,10,50,1
340,12,50,4
341,9,50,6
342,5,50,9
343,2,50,2
344,1,50,12
345,0,50,5
346,0,50,11
347,0,50,7
348,0,50,8
349,0,50,3
350,16,51,6
351,8,51,1
352,8,51,5
353,4,51,11
354,2,51,2
355,1,51,9
356,0,51,4
357,0,51,3
358,0,51,7
359,0,51,8
360,0,51,12
361,18,52,6
362,8,52,1
363,5,52,3
364,7,52,2
365,1,52,7
366,0,52,9
367,0,52,8
368,0,52,5
369,0,52,12
370,0,52,11
371,0,52,4
372,10,53,4
373,8,53,6
374,10,53,1
375,5,53,11
376,5,53,3
377,1,53,9
378,0,53,5
379,0,53,2
380,0,53,7
381,0,53,13
382,0,53,8
383,18,54,4
384,6,54,11
385,5,54,1
386,7,54,6
387,2,54,2
388,1,54,7
389,0,54,5
390,0,54,13
391,0,54,8
392,0,54,9
393,0,54,3
394,14,55,4
395,8,55,1
396,6,55,7
397,8,55,2
398,2,55,11
399,1,55,9
400,0,55,5
401,0,55,13
402,0,55,8
403,0,55,6
404,0,55,3
405,15,56,6
406,9,56,4
407,10,56,1
408,3,56,3
409,2,56,11
410,0,56,7
411,0,56,2
412,0,56,5
