constructorStandingsId,points,position,wins,raceId,constructorId
1,14,1,1,18,1
2,8,3,0,18,2
3,9,2,0,18,3
4,5,4,0,18,4
5,2,5,0,18,5
6,1,6,0,18,6
7,24,1,1,19,1
8,19,2,0,19,2
9,9,4,0,19,3
10,6,5,0,19,4
11,2,8,0,19,5
12,11,3,1,19,6
13,5,6,0,19,7
14,2,7,0,19,9
15,0,9,0,19,11
16,0,10,0,19,10
17,0,11,0,19,8
18,28,3,1,20,1
19,30,1,0,20,2
20,10,4,0,20,3
21,6,6,0,20,4
22,2,8,0,20,5
23,29,2,2,20,6
24,8,5,0,20,7
25,4,7,0,20,9
26,0,9,0,20,11
27,0,10,0,20,10
28,0,11,0,20,8
29,34,3,1,21,1
30,35,2,0,21,2
31,12,4,0,21,3
32,6,7,0,21,4
33,2,9,0,21,5
34,47,1,3,21,6
35,9,5,0,21,7
36,8,6,0,21,9
37,3,8,0,21,11
38,0,10,0,21,10
39,0,11,0,21,8
40,42,3,1,22,1
41,44,2,0,22,2
42,13,4,0,22,3
43,9,7,0,22,4
44,2,9,0,22,5
45,63,1,4,22,6
46,9,6,0,22,7
47,10,5,0,22,9
48,3,8,0,22,11
49,0,10,0,22,10
50,0,11,0,22,8
51,53,2,2,23,1
52,52,3,0,23,2
53,15,4,0,23,3
54,9,7,0,23,4
55,6,8,0,23,5
56,69,1,4,23,6
57,9,6,0,23,7
58,15,5,0,23,9
59,6,9,0,23,11
60,0,10,0,23,10
61,0,11,0,23,8
62,53,3,2,24,1
63,70,2,1,24,2
64,15,6,0,24,3
65,9,7,0,24,4
66,7,9,0,24,5
67,73,1,4,24,6
68,17,5,0,24,7
69,21,4,0,24,9
70,8,8,0,24,11
71,0,10,0,24,10
72,0,11,0,24,8
73,58,3,2,25,1
74,74,2,1,25,2
75,15,6,0,25,3
76,12,7,0,25,4
77,7,9,0,25,5
78,91,1,5,25,6
79,23,5,0,25,7
80,24,4,0,25,9
81,8,8,0,25,11
82,0,10,0,25,10
83,0,11,0,25,8
84,72,3,3,26,1
85,82,2,1,26,2
86,16,6,0,26,3
87,15,7,0,26,4
88,7,9,0,26,5
89,96,1,5,26,6
90,25,4,0,26,7
91,24,5,0,26,9
92,14,8,0,26,11
93,0,10,0,26,10
94,0,11,0,26,8
95,86,3,4,27,1
96,89,2,1,27,2
97,16,7,0,27,3
98,23,6,0,27,4
99,8,9,0,27,5
100,105,1,5,27,6
101,25,4,0,27,7
102,24,5,0,27,9
103,14,8,0,27,11
104,0,10,0,27,10
105,0,11,0,27,8
106,100,2,5,28,1
107,90,3,1,28,2
108,16,7,0,28,3
109,31,5,0,28,4
110,8,9,0,28,5
111,111,1,5,28,6
112,35,4,0,28,7
113,24,6,0,28,9
114,14,8,0,28,11
115,0,10,0,28,10
116,0,11,0,28,8
117,113,2,5,29,1
118,96,3,1,29,2
119,17,7,0,29,3
120,31,5,0,29,4
121,11,9,0,29,5
122,121,1,6,29,6
123,41,4,0,29,7
124,24,6,0,29,9
125,14,8,0,29,11
126,0,10,0,29,10
127,0,11,0,29,8
128,119,2,5,30,1
129,107,3,1,30,2
130,17,7,0,30,3
131,36,5,0,30,4
132,17,8,0,30,5
133,131,1,7,30,6
134,41,4,0,30,7
135,25,6,0,30,9
136,14,9,0,30,11
137,0,10,0,30,10
138,0,11,0,30,8
139,129,2,5,31,1
140,117,3,1,31,2
141,17,8,0,31,3
142,41,5,0,31,4
143,27,6,1,31,5
144,134,1,7,31,6
145,41,4,0,31,7
146,26,7,0,31,9
147,14,9,0,31,11
148,0,10,0,31,10
149,0,11,0,31,8
150,135,1,5,32,1
151,120,3,1,32,2
152,26,8,0,32,3
153,51,4,1,32,4
154,31,6,1,32,5
155,134,2,7,32,6
156,46,5,0,32,7
157,28,7,0,32,9
158,14,9,0,32,11
159,0,10,0,32,10
160,0,11,0,32,8
161,135,2,5,33,1
162,128,3,1,33,2
163,26,8,0,33,3
164,66,4,2,33,4
165,34,6,1,33,5
166,142,1,7,33,6
167,50,5,0,33,7
168,29,7,0,33,9
169,14,9,0,33,11
170,0,10,0,33,10
171,0,11,0,33,8
1643,0,11,0,34,8
1642,0,10,0,34,10
1641,14,9,0,34,11
1640,29,7,0,34,9
1639,52,5,0,34,7
1638,156,1,7,34,6
1637,34,6,1,34,5
1636,72,4,2,34,4
1635,26,8,0,34,3
1634,135,3,1,34,2
1633,145,2,6,34,1
183,151,2,6,35,1
184,135,3,1,35,2
185,26,8,0,35,3
186,80,4,2,35,4
187,39,6,1,35,5
188,172,1,8,35,6
189,56,5,0,35,7
190,29,7,0,35,9
191,14,9,0,35,11
192,0,10,0,35,10
193,0,11,0,35,8
25742,0,9,0,36,5
25741,0,8,0,36,9
25740,0,7,0,36,8
25739,0,6,0,36,11
25738,1,5,0,36,7
25737,2,4,0,36,3
25736,4,3,0,36,4
25735,5,2,0,36,2
25753,0,9,0,37,5
25752,0,6,0,37,9
25751,0,8,0,37,8
25750,0,7,0,37,11
25749,3,4,0,37,7
25748,2,5,0,37,3
25747,8,3,0,37,4
25746,10,2,0,37,2
25764,0,9,0,38,5
25763,0,6,0,38,9
25762,0,8,0,38,8
25761,0,7,0,38,11
25760,5,4,0,38,7
25759,2,5,0,38,3
25758,9,3,0,38,4
25757,18,2,0,38,2
25756,44,11,1,38,1
25755,39,1,2,38,6
25775,0,10,0,39,5
25774,4,6,0,39,9
25773,1,7,0,39,8
25772,0,8,0,39,11
25771,5,5,0,39,7
25770,5,4,0,39,3
25769,11,3,0,39,4
25768,23,2,0,39,2
25767,58,11,1,39,1
25786,0,8,0,40,5
25785,4,6,0,40,9
25784,1,7,0,40,8
25783,0,9,0,40,11
25782,5,5,0,40,7
25781,7,4,0,40,3
