constructorId,constructor_name,constructor_nationality,constructor_home
1,McLaren,British,UK
2,BMW Sauber,German,Germany
3,Williams,British,UK
4,Renault,French,France
5,Toro Rosso,Italian,Italy
6,Ferrari,Italian,Italy
7,Toyota,Japanese,Japan
8,Super Aguri,Japanese,Japan
9,Red Bull,Austrian,Austria
10,Force India,Indian,India
11,Honda,Japanese,Japan
12,Spyker,Dutch,Netherlands
13,MF1,Russian,Russia
14,Spyker MF1,Dutch,Netherlands
15,Sauber,Swiss,Switzerland
16,BAR,British,UK
17,Jordan,Irish,Ireland
18,Minardi,Italian,Italy
19,Jaguar,British,UK
20,Prost,French,France
21,Arrows,British,UK
22,Benetton,Italian,Italy
23,Brawn,British,UK
24,Stewart,British,UK
25,Tyrrell,British,UK
26,Lola,British,UK
27,Ligier,French,France
28,Forti,Italian,Italy
29,Footwork,British,UK
30,Pacific,British,UK
31,Simtek,British,UK
32,Team Lotus,British,UK
33,Larrousse,French,France
34,Brabham,British,UK
35,Dallara,Italian,Italy
36,Fondmetal,Italian,Italy
37,March,British,UK
38,Andrea Moda,Italian,Italy
39,AGS,French,France
40,Lambo,Italian,Italy
41,Leyton House,British,UK
42,Coloni,Italian,Italy
44,Euro Brun,Italian,Italy
45,Osella,Italian,Italy
46,Onyx,British,UK
47,Life,Italian,Italy
48,Rial,German,Germany
49,Zakspeed,German,Germany
50,RAM,British,UK
51,Alfa Romeo,Swiss,Switzerland
52,Spirit,British,UK
53,Toleman,British,UK
54,ATS,Italian,Italy
55,Theodore,Hong Kong,Hong Kong
56,Fittipaldi,Brazilian,Brazil
57,Ensign,British,UK
58,Shadow,British,UK
59,Wolf,Canadian,Canada
60,Merzario,Italian,Italy
61,Kauhsen,German,Germany
62,Rebaque,Mexican,Mexico
63,Surtees,British,UK
64,Hesketh,British,UK
65,Martini,French,France
66,BRM,British,UK
67,Penske,American,USA
68,LEC,British,UK
69,McGuire,Australian,Australia
70,Boro,Dutch,Netherlands
71,Apollon,Swiss,Switzerland
72,Kojima,Japanese,Japan
73,Parnelli,American,USA
74,Maki,Japanese,Japan
75,Embassy Hill,British,UK
76,Lyncar,British,UK
77,Trojan,British,UK
78,Amon,New Zealander,New Zealand
79,Token,British,UK
80,Iso Marlboro,British,UK
81,Tecno,Italian,Italy
82,Matra,French,France
83,Politoys,British,UK
84,Connew,British,UK
