driverStandingsId,points,position,wins,raceId,driverId
1,10,1,1,18,1
2,8,2,0,18,2
3,6,3,0,18,3
4,5,4,0,18,4
5,4,5,0,18,5
6,3,6,0,18,6
7,2,7,0,18,7
8,1,8,0,18,8
9,14,1,1,19,1
10,11,3,0,19,2
11,6,6,0,19,3
12,6,7,0,19,4
13,10,4,0,19,5
14,3,9,0,19,6
15,2,10,0,19,7
16,11,2,1,19,8
17,8,5,0,19,9
18,5,8,0,19,15
19,2,11,0,19,17
20,0,12,0,19,14
21,0,13,0,19,18
22,0,14,0,19,12
23,0,15,0,19,21
24,0,16,0,19,22
25,0,17,0,19,19
26,0,18,0,19,11
27,14,3,1,20,1
28,16,2,0,20,2
29,7,8,0,20,3
30,6,9,0,20,4
31,14,5,0,20,5
32,3,11,0,20,6
33,2,12,0,20,7
34,19,1,1,20,8
35,14,4,0,20,9
36,8,7,0,20,15
37,4,10,0,20,17
38,0,13,0,20,14
39,0,15,0,20,18
40,0,17,0,20,12
41,0,18,0,20,21
42,0,16,0,20,22
43,0,19,0,20,19
44,0,20,0,20,11
45,10,6,1,20,13
46,0,14,0,20,10
47,0,21,0,20,16
48,20,2,1,21,1
49,16,5,0,21,2
50,7,9,0,21,3
51,6,10,0,21,4
52,14,6,0,21,5
53,5,11,0,21,6
54,2,13,0,21,7
55,29,1,2,21,8
56,19,3,0,21,9
57,9,7,0,21,15
58,8,8,0,21,17
59,0,15,0,21,14
60,3,12,0,21,18
61,0,18,0,21,12
62,0,16,0,21,21
63,0,17,0,21,22
64,0,20,0,21,19
65,0,19,0,21,11
66,18,4,1,21,13
67,0,14,0,21,10
68,0,21,0,21,16
69,28,3,1,22,1
70,20,5,0,22,2
71,8,10,0,22,3
72,9,8,0,22,4
73,14,6,0,22,5
74,5,11,0,22,6
75,2,13,0,22,7
76,35,1,2,22,8
77,24,4,0,22,9
78,9,9,0,22,15
79,10,7,0,22,17
80,0,14,0,22,14
81,3,12,0,22,18
82,0,18,0,22,12
83,0,16,0,22,21
84,0,17,0,22,22
85,0,20,0,22,19
86,0,19,0,22,11
87,28,2,2,22,13
88,0,15,0,22,10
89,0,21,0,22,16
90,0,22,0,22,20
91,38,1,2,23,1
92,20,5,0,23,2
93,8,10,0,23,3
94,9,8,0,23,4
95,15,6,0,23,5
96,7,11,0,23,6
97,2,15,0,23,7
98,35,2,2,23,8
99,32,4,0,23,9
100,9,9,0,23,15
101,15,7,0,23,17
102,0,16,0,23,14
103,3,13,0,23,18
104,0,19,0,23,12
105,0,18,0,23,21
106,3,14,0,23,22
107,0,21,0,23,19
108,0,20,0,23,11
109,34,3,2,23,13
110,0,17,0,23,10
111,0,22,0,23,16
112,4,12,0,23,20
113,38,2,2,24,1
114,28,5,0,24,2
115,8,10,0,24,3
116,9,9,0,24,4
117,15,6,0,24,5
118,7,11,0,24,6
119,2,17,0,24,7
120,35,4,2,24,8
121,42,1,1,24,9
122,12,8,0,24,15
123,15,7,0,24,17
124,6,12,0,24,14
125,3,16,0,24,18
126,0,19,0,24,12
127,0,18,0,24,21
128,5,15,0,24,22
129,0,21,0,24,19
130,0,20,0,24,11
131,38,3,2,24,13
132,5,13,0,24,10
133,0,22,0,24,16
134,5,14,0,24,20
135,38,4,2,25,1
136,28,5,0,25,2
137,8,10,0,25,3
138,10,9,0,25,4
139,20,6,0,25,5
140,7,11,0,25,6
141,2,18,0,25,7
142,43,3,2,25,8
143,46,2,1,25,9
144,18,7,0,25,15
145,18,8,0,25,17
146,6,12,0,25,14
147,3,16,0,25,18
148,2,17,0,25,12
149,0,19,0,25,21
150,5,15,0,25,22
151,0,21,0,25,19
152,0,20,0,25,11
153,48,1,3,25,13
154,5,13,0,25,10
155,0,22,0,25,16
156,5,14,0,25,20
157,48,1,3,26,1
158,36,5,0,26,2
159,8,11,0,26,3
160,13,9,0,26,4
161,24,6,0,26,5
162,8,12,0,26,6
163,2,17,0,26,7
164,48,3,2,26,8
165,46,4,1,26,9
166,20,7,0,26,15
167,18,8,0,26,17
168,6,13,0,26,14
169,3,16,0,26,18
170,2,18,0,26,12
171,0,19,0,26,21
172,11,10,0,26,22
173,0,21,0,26,19
174,0,20,0,26,11
175,48,2,3,26,13
176,5,14,0,26,10
177,0,22,0,26,16
178,5,15,0,26,20
179,58,1,4,27,1
180,41,5,0,27,2
181,8,12,0,27,3
182,13,9,0,27,4
183,28,6,0,27,5
184,8,13,0,27,6
185,2,18,0,27,7
186,51,3,2,27,8
187,48,4,1,27,9
188,20,7,0,27,15
189,18,8,0,27,17
190,6,14,0,27,14
191,3,17,0,27,18
192,10,11,0,27,12
193,0,19,0,27,21
194,11,10,0,27,22
195,0,22,0,27,19
196,0,20,0,27,11
197,54,2,3,27,13
198,5,16,0,27,10
199,0,21,0,27,16
200,6,15,0,27,20
201,62,1,4,28,1
202,41,5,0,28,2
203,8,13,0,28,3
204,18,8,0,28,4
205,38,6,1,28,5
206,8,14,0,28,6
207,2,18,0,28,7
208,57,2,2,28,8
209,49,4,1,28,9
210,22,7,0,28,15
211,18,9,0,28,17
212,6,15,0,28,14
213,3,17,0,28,18
214,13,11,0,28,12
215,0,19,0,28,21
216,11,12,0,28,22
217,0,22,0,28,19
218,0,20,0,28,11
219,54,3,3,28,13
220,13,10,0,28,10
221,0,21,0,28,16
222,6,16,0,28,20
223,70,1,4,29,1
224,41,6,0,29,2
225,9,13,0,29,3
226,18,8,0,29,4
227,43,5,1,29,5
228,8,15,0,29,6
229,2,18,0,29,7
230,57,3,2,29,8
231,55,4,1,29,9
232,26,7,0,29,15
233,18,9,0,29,17
234,6,16,0,29,14
235,3,17,0,29,18
236,13,11,0,29,12
237,0,19,0,29,21
238,11,12,0,29,22
239,0,22,0,29,19
240,0,20,0,29,11
241,64,2,4,29,13
242,15,10,0,29,10
243,0,21,0,29,16
244,9,14,0,29,20
245,76,1,4,30,1
246,49,5,0,30,2
247,9,14,0,30,3
248,23,8,0,30,4
249,43,6,1,30,5
250,8,15,0,30,6
251,4,17,0,30,7
252,57,4,2,30,8
253,58,3,1,30,9
254,26,7,0,30,15
255,19,9,0,30,17
256,6,16,0,30,14
257,3,18,0,30,18
258,13,11,0,30,12
259,0,19,0,30,21
260,11,13,0,30,22
261,0,22,0,30,19
262,0,21,0,30,11
263,74,2,5,30,13
264,15,10,0,30,10
265,0,20,0,30,16
266,13,12,0,30,20
267,78,1,4,31,1
268,53,5,0,31,2
269,9,14,0,31,3
270,28,7,0,31,4
271,51,6,1,31,5
272,8,15,0,31,6
273,4,17,0,31,7
274,57,4,2,31,8
275,64,3,1,31,9
276,26,8,0,31,15
277,20,10,0,31,17
278,6,16,0,31,14
279,3,18,0,31,18
280,13,12,0,31,12
281,0,19,0,31,21
282,11,13,0,31,22
283,0,22,0,31,19
284,0,21,0,31,11
285,77,2,5,31,13
286,15,11,0,31,10
287,0,20,0,31,16
288,23,9,1,31,20
289,84,1,4,32,1
290,56,5,0,32,2
291,17,12,0,32,3
292,38,7,1,32,4
293,51,6,1,32,5
294,9,15,0,32,6
295,4,17,0,32,7
296,57,4,2,32,8
297,64,3,1,32,9
298,26,9,0,32,15
299,20,11,0,32,17
300,8,16,0,32,14
301,3,18,0,32,18
302,13,13,0,32,12
303,0,19,0,32,21
304,11,14,0,32,22
305,0,22,0,32,19
306,0,21,0,32,11
307,77,2,5,32,13
308,20,10,0,32,10
309,0,20,0,32,16
310,27,8,1,32,20
311,84,1,4,33,1
312,56,5,0,33,2
313,17,13,0,33,3
314,48,7,2,33,4
315,51,6,1,33,5
316,9,15,0,33,6
317,4,17,0,33,7
318,63,4,2,33,8
319,72,3,1,33,9
320,30,9,0,33,15
321,21,10,0,33,17
322,8,16,0,33,14
323,3,18,0,33,18
324,18,12,0,33,12
325,0,19,0,33,21
326,11,14,0,33,22
327,0,22,0,33,19
328,0,21,0,33,11
329,79,2,5,33,13
330,20,11,0,33,10
331,0,20,0,33,16
332,30,8,1,33,20
3459,30,8,1,34,20
3458,0,20,0,34,16
3457,22,10,0,34,10
3456,87,2,5,34,13
3455,0,21,0,34,11
3454,0,22,0,34,19
3453,11,14,0,34,22
3452,0,19,0,34,21
3451,19,12,0,34,12
3450,3,18,0,34,18
3449,8,16,0,34,14
3448,21,11,0,34,17
3447,30,9,0,34,15
3446,75,3,1,34,9
3445,69,4,2,34,8
3444,4,17,0,34,7
3443,9,15,0,34,6
3442,51,7,1,34,5
3441,53,6,2,34,4
3440,17,13,0,34,3
3439,60,5,0,34,2
3438,94,1,5,34,1
355,98,1,5,35,1
356,60,6,0,35,2
357,17,13,0,35,3
358,61,5,2,35,4
359,53,7,1,35,5
360,9,15,0,35,6
361,4,17,0,35,7
362,75,3,2,35,8
363,75,4,1,35,9
364,31,9,0,35,15
365,21,11,0,35,17
366,8,16,0,35,14
367,3,18,0,35,18
368,19,12,0,35,12
369,0,19,0,35,21
370,11,14,0,35,22
371,0,22,0,35,19
372,0,21,0,35,11
373,97,2,6,35,13
374,25,10,0,35,10
375,0,20,0,35,16
376,35,8,1,35,20
13629,0,17,0,36,16
13628,0,16,0,36,19
13627,0,15,0,36,18
13626,0,14,0,36,24
13625,0,13,0,36,17
13624,0,12,0,36,11
13623,0,11,0,36,22
13622,0,10,0,36,5
13621,0,9,0,36,15
13620,1,8,0,36,23
13619,2,7,0,36,3
13618,3,6,0,36,13
13617,4,5,0,36,21
13649,0,20,0,37,9
13648,0,17,0,37,26
13647,0,11,0,37,25
13646,0,19,0,37,16
13645,0,18,0,37,19
13644,0,15,0,37,18
13643,0,16,0,37,24
13642,0,12,0,37,17
13641,0,14,0,37,11
13640,0,13,0,37,22
13639,1,9,0,37,5
13638,2,7,0,37,15
13637,1,10,0,37,23
13635,7,6,0,37,13
13670,0,18,0,38,27
13669,3,8,0,38,9
13668,0,19,0,38,26
13667,0,12,0,38,25
13666,0,20,0,38,16
13665,0,21,0,38,19
13664,0,16,0,38,18
13663,0,17,0,38,24
13662,0,13,0,38,17
13661,0,15,0,38,11
13660,0,14,0,38,22
13659,1,10,0,38,5
13658,4,7,0,38,15
13657,1,11,0,38,23
13656,2,9,0,38,3
13655,17,4,1,38,13
13654,8,6,0,38,21
13653,15,5,0,38,2
13652,22,3,0,38,1
13651,22,1,1,38,4
13650,22,2,1,38,8
13692,4,9,0,39,14
13691,0,20,0,39,27
13690,8,6,0,39,9
13689,0,22,0,39,26
13688,0,14,0,39,25
13687,0,19,0,39,16
13686,0,17,0,39,19
13685,0,18,0,39,18
13684,0,21,0,39,24
13683,0,16,0,39,17
13682,1,12,0,39,11
13681,0,15,0,39,22
13680,3,11,0,39,5
13679,4,10,0,39,15
13678,1,13,0,39,23
13677,5,8,0,39,3
13675,8,7,0,39,21
13714,4,9,0,40,14
13713,0,21,0,40,27
13712,12,7,0,40,9
13711,0,15,0,40,26
13710,2,12,0,40,25
13709,0,20,0,40,16
13708,0,19,0,40,19
13707,0,18,0,40,18
13706,0,22,0,40,24
13705,0,17,0,40,17
13704,1,13,0,40,11
13703,0,16,0,40,22
13702,3,11,0,40,5
13701,4,10,0,40,15
13700,1,14,0,40,23
13699,5,8,0,40,3
13697,13,6,0,40,21
13736,4,11,0,41,14
13735,0,21,0,41,27
13734,12,7,0,41,9
13733,0,16,0,41,26
13732,8,8,0,41,25
13731,0,20,0,41,16
13730,0,18,0,41,19
13729,0,19,0,41,18
13728,0,22,0,41,24
13726,4,12,0,41,11
13724,8,9,0,41,5
13722,2,14,0,41,23
13721,5,10,0,41,3
13720,33,3,2,41,13
13718,26,5,0,41,2
13716,40,2,2,41,4
13759,1,16,0,42,20
13758,4,12,0,42,14
13757,0,22,0,42,27
13756,12,7,0,42,9
13755,0,17,0,42,26
13754,8,9,0,42,25
13753,0,21,0,42,16
13752,0,19,0,42,19
13751,0,20,0,42,18
13750,0,23,0,42,24
13748,4,13,0,42,11
13746,12,8,0,42,5
13744,2,15,0,42,23
13743,5,11,0,42,3
13742,39,3,2,42,13
13740,26,5,0,42,2
13738,48,2,2,42,4
13782,1,17,0,43,20
13781,4,12,0,43,14
13780,0,22,0,43,27
13779,17,6,0,43,9
13778,0,18,0,43,26
13777,8,9,0,43,25
13776,0,21,0,43,16
13775,0,20,0,43,19
13774,1,16,0,43,18
13773,0,23,0,43,24
13772,2,14,0,43,17
13771,4,13,0,43,11
13769,12,8,0,43,5
13767,2,15,0,43,23
13766,5,11,0,43,3
13765,47,3,2,43,13
13763,30,5,0,43,2
13761,50,2,2,43,4
13805,1,17,0,44,20
13804,4,12,0,44,14
13803,0,22,0,44,27
13802,22,6,0,44,9
13801,0,19,0,44,26
13800,8,9,0,44,25
13799,0,21,0,44,16
13798,0,20,0,44,19
13797,1,16,0,44,18
13796,0,23,0,44,24
13795,2,14,0,44,17
13794,4,13,0,44,11
13792,14,8,0,44,5
13790,2,15,0,44,23
13789,5,11,0,44,3
13787,17,7,0,44,21
13784,58,2,2,44,4
13828,1,17,0,45,20
13827,8,11,0,45,14
13826,0,22,0,45,27
13825,24,6,0,45,9
13824,0,19,0,45,26
13823,13,9,0,45,25
13822,0,21,0,45,16
13821,0,20,0,45,19
13820,1,16,0,45,18
13819,0,23,0,45,24
13818,8,10,0,45,17
13817,4,14,0,45,11
13816,0,18,0,45,22
13815,15,8,0,45,5
13814,7,12,0,45,15
13813,2,15,0,45,23
13811,59,3,2,45,13
13809,36,5,0,45,2
13832,42,5,0,46,2
13851,1,17,0,46,20
13850,8,11,0,46,14
13849,0,22,0,46,27
13848,28,6,0,46,9
13847,0,19,0,46,26
13846,13,9,0,46,25
13845,0,21,0,46,16
13844,0,20,0,46,19
13843,1,16,0,46,18
13842,0,23,0,46,24
13841,8,10,0,46,17
13840,4,15,0,46,11
13838,16,8,0,46,5
13837,7,13,0,46,15
13836,5,14,0,46,23
13835,7,12,0,46,3
13833,17,7,0,46,21
13830,73,2,3,46,4
13856,17,8,0,47,21
13875,0,24,0,47,29
13874,1,17,0,47,20
13873,8,12,0,47,14
13872,0,22,0,47,27
13871,29,6,0,47,9
13870,0,19,0,47,26
13869,13,9,0,47,25
13868,0,21,0,47,16
13867,0,20,0,47,19
13866,1,16,0,47,18
13865,0,23,0,47,24
13864,8,11,0,47,17
13863,4,15,0,47,11
13862,0,18,0,47,22
13861,19,7,0,47,5
13858,9,10,0,47,3
13857,69,3,3,47,13
13855,47,5,0,47,2
13853,79,2,3,47,4
13879,52,5,0,48,2
13899,0,24,0,48,29
13898,1,17,0,48,20
13897,8,12,0,48,14
13896,0,22,0,48,27
13895,33,6,0,48,9
13894,0,19,0,48,26
13893,13,9,0,48,25
13892,0,21,0,48,16
13891,0,20,0,48,19
13890,2,16,0,48,18
13889,0,23,0,48,24
13888,8,11,0,48,17
13887,4,15,0,48,11
13886,0,18,0,48,22
13885,21,7,0,48,5
13884,7,13,0,48,15
13881,69,4,3,48,13
13880,17,8,0,48,21
13877,89,2,4,48,4
13903,56,5,0,49,2
13923,0,24,0,49,29
13922,1,17,0,49,20
13921,8,12,0,49,14
13920,0,23,0,49,27
13919,33,6,0,49,9
13918,0,19,0,49,26
13917,13,10,0,49,25
13916,0,22,0,49,16
13915,0,20,0,49,19
13914,2,16,0,49,18
13913,0,21,0,49,24
13912,10,11,0,49,17
13911,4,15,0,49,11
13910,0,18,0,49,22
13909,22,7,0,49,5
13908,7,13,0,49,15
13905,77,4,3,49,13
13904,17,8,0,49,21
13901,95,2,4,49,4
13927,56,5,0,50,2
13947,0,23,0,50,29
13946,1,18,0,50,20
13945,13,11,0,50,14
13944,0,24,0,50,27
13943,35,6,0,50,9
13942,0,21,0,50,26
13941,13,10,0,50,25
13940,1,17,0,50,16
13939,0,22,0,50,19
13938,2,16,0,50,18
13937,0,20,0,50,24
13936,10,12,0,50,17
13935,4,15,0,50,11
13934,0,19,0,50,22
13933,30,7,0,50,5
13932,7,13,0,50,15
13929,80,4,3,50,13
13928,21,8,0,50,21
13925,95,2,4,50,4
13951,58,5,0,51,2
13971,0,23,0,51,29
13970,6,14,0,51,20
13969,14,10,0,51,14
13968,0,24,0,51,27
13967,35,6,0,51,9
13966,0,21,0,51,26
13965,13,11,0,51,25
13964,1,19,0,51,16
13963,0,22,0,51,19
13962,6,15,0,51,18
13961,3,18,0,51,24
13960,10,12,0,51,17
13959,4,17,0,51,11
13958,0,20,0,51,22
13957,30,7,0,51,5
13956,7,13,0,51,15
13955,5,16,0,51,23
