resultId,grid_position,position,points,laps,fastestLap,fastestLapRank,fastestLapTime,fastestLapSpeed,raceId,driverId,constructorId
1,1,1,10,58,39,2,0 days 00:01:27.452000,218.3,18,1,1
2,5,2,8,58,41,3,0 days 00:01:27.739000,217.586,18,2,2
3,7,3,6,58,41,5,0 days 00:01:28.090000,216.719,18,3,3
4,11,4,5,58,58,7,0 days 00:01:28.603000,215.464,18,4,4
5,3,5,4,58,43,1,0 days 00:01:27.418000,218.385,18,5,1
6,13,6,3,57,50,14,0 days 00:01:29.639000,212.974,18,6,3
7,17,7,2,55,22,12,0 days 00:01:29.534000,213.224,18,7,5
8,15,8,1,53,20,4,0 days 00:01:27.903000,217.18,18,8,6
9,2,9,0,47,15,9,0 days 00:01:28.753000,215.1,18,9,2
10,18,10,0,43,23,13,0 days 00:01:29.558000,213.166,18,10,7
11,19,11,0,32,24,15,0 days 00:01:30.892000,210.038,18,11,8
12,20,12,0,30,20,16,0 days 00:01:31.384000,208.907,18,12,4
13,4,13,0,29,23,6,0 days 00:01:28.175000,216.51,18,13,6
14,8,14,0,25,21,11,0 days 00:01:29.502000,213.3,18,14,9
15,6,15,0,19,18,10,0 days 00:01:29.310000,213.758,18,15,7
16,22,16,0,8,8,17,0 days 00:01:32.021000,207.461,18,16,10
17,14,17,0,0,0,0,0 days 00:00:00,0,18,17,9
18,12,18,0,0,0,0,0 days 00:00:00,0,18,18,11
19,21,19,0,0,0,0,0 days 00:00:00,0,18,19,8
20,9,20,0,0,0,0,0 days 00:00:00,0,18,20,5
21,16,21,0,0,0,0,0 days 00:00:00,0,18,21,10
22,10,22,0,58,44,8,0 days 00:01:28.736000,215.141,18,22,11
23,2,1,10,56,37,2,0 days 00:01:35.405000,209.158,19,8,6
24,4,2,8,56,39,6,0 days 00:01:35.921000,208.033,19,9,2
25,8,3,6,56,19,7,0 days 00:01:35.922000,208.031,19,5,1
26,3,4,5,56,53,8,0 days 00:01:36.068000,207.715,19,15,7
27,9,5,4,56,53,3,0 days 00:01:35.462000,209.033,19,1,1
28,5,6,3,56,55,1,0 days 00:01:35.366000,209.244,19,2,2
29,6,7,2,56,53,12,0 days 00:01:36.696000,206.366,19,17,9
30,7,8,1,56,40,10,0 days 00:01:36.288000,207.24,19,4,4
31,12,9,0,56,55,9,0 days 00:01:36.206000,207.417,19,14,9
32,11,10,0,56,56,4,0 days 00:01:35.715000,208.481,19,18,11
33,13,11,0,56,52,15,0 days 00:01:36.956000,205.812,19,12,4
34,17,12,0,55,52,16,0 days 00:01:36.962000,205.8,19,21,10
35,14,13,0,55,55,11,0 days 00:01:36.693000,206.372,19,22,11
36,16,14,0,55,55,13,0 days 00:01:36.782000,206.182,19,3,3
37,21,15,0,55,55,18,0 days 00:01:38.171000,203.265,19,19,8
38,19,16,0,54,53,19,0 days 00:01:38.504000,202.578,19,11,8
39,22,17,0,54,19,17,0 days 00:01:37.711000,204.222,19,6,3
40,15,18,0,39,37,14,0 days 00:01:36.870000,205.995,19,20,5
41,1,19,0,30,15,5,0 days 00:01:35.914000,208.048,19,13,6
42,20,20,0,5,3,20,0 days 00:01:40.330000,198.891,19,16,10
43,10,21,0,1,0,0,0 days 00:00:00,0,19,10,7
44,18,22,0,0,0,0,0 days 00:00:00,0,19,7,5
45,2,1,10,57,38,3,0 days 00:01:33.600000,208.153,20,13,6
46,4,2,8,57,35,4,0 days 00:01:33.709000,207.911,20,8,6
47,1,3,6,57,55,5,0 days 00:01:33.775000,207.765,20,9,2
48,6,4,5,57,48,2,0 days 00:01:33.565000,208.231,20,2,2
49,5,5,4,57,49,1,0 days 00:01:33.193000,209.062,20,5,1
50,7,6,3,57,45,7,0 days 00:01:34.204000,206.819,20,15,7
51,11,7,2,57,51,8,0 days 00:01:34.305000,206.597,20,17,9
52,8,8,1,57,57,6,0 days 00:01:34.072000,207.109,20,3,3
53,13,9,0,57,56,9,0 days 00:01:34.807000,205.503,20,10,7
54,10,10,0,57,35,13,0 days 00:01:35.194000,204.668,20,4,4
55,12,11,0,57,40,10,0 days 00:01:34.855000,205.399,20,22,11
56,18,12,0,56,56,11,0 days 00:01:35.057000,204.963,20,21,10
57,3,13,0,56,25,19,0 days 00:01:35.520000,203.969,20,1,1
58,16,14,0,56,30,17,0 days 00:01:35.433000,204.155,20,6,3
59,15,15,0,56,33,15,0 days 00:01:35.333000,204.369,20,7,5
60,21,16,0,56,45,14,0 days 00:01:35.324000,204.389,20,19,8
61,22,17,0,56,56,20,0 days 00:01:35.891000,203.18,20,11,8
62,17,18,0,56,43,16,0 days 00:01:35.351000,204.331,20,14,9
63,20,19,0,56,55,18,0 days 00:01:35.442000,204.136,20,16,10
64,14,20,0,40,31,12,0 days 00:01:35.129000,204.808,20,12,4
65,9,21,0,19,11,21,0 days 00:01:36.125000,202.686,20,18,11
66,19,22,0,0,0,0,0 days 00:00:00,0,20,20,5
67,1,1,10,66,46,1,0 days 00:01:21.670000,205.191,21,8,6
68,3,2,8,66,45,2,0 days 00:01:21.801000,204.863,21,13,6
69,5,3,6,66,20,3,0 days 00:01:22.017000,204.323,21,1,1
70,4,4,5,66,20,4,0 days 00:01:22.106000,204.102,21,9,2
71,7,5,4,66,19,8,0 days 00:01:22.564000,202.969,21,17,9
72,13,6,3,66,66,5,0 days 00:01:22.353000,203.489,21,18,11
73,12,7,2,66,48,15,0 days 00:01:23.549000,200.576,21,6,3
74,8,8,1,66,45,10,0 days 00:01:22.758000,202.494,21,15,7
75,9,9,0,66,21,7,0 days 00:01:22.519000,203.08,21,2,2
76,19,10,0,65,40,14,0 days 00:01:23.439000,200.841,21,21,10
77,14,11,0,65,57,12,0 days 00:01:23.007000,201.886,21,10,7
78,17,12,0,65,57,11,0 days 00:01:22.842000,202.288,21,14,9
79,22,13,0,65,34,17,0 days 00:01:24.617000,198.045,21,11,8
80,15,14,0,41,20,13,0 days 00:01:23.319000,201.13,21,3,3
81,2,15,0,34,15,9,0 days 00:01:22.683000,202.677,21,4,4
82,11,16,0,34,21,16,0 days 00:01:23.858000,199.837,21,22,11
83,6,17,0,21,19,6,0 days 00:01:22.453000,203.243,21,5,1
84,21,18,0,8,6,20,0 days 00:01:26.864000,192.922,21,19,8
85,16,19,0,7,6,19,0 days 00:01:25.999000,194.862,21,7,5
86,10,20,0,6,6,18,0 days 00:01:25.444000,196.128,21,12,4
87,20,21,0,0,0,0,0 days 00:00:00,0,21,16,10
88,18,22,0,0,0,0,0 days 00:00:00,0,21,20,5
89,1,1,10,58,16,3,0 days 00:01:26.666000,221.734,22,13,6
90,3,2,8,58,31,2,0 days 00:01:26.529000,222.085,22,1,1
91,4,3,6,58,20,1,0 days 00:01:26.506000,222.144,22,8,6
92,5,4,5,58,17,4,0 days 00:01:26.780000,221.442,22,9,2
93,9,5,4,58,20,5,0 days 00:01:27.219000,220.328,22,2,2
94,7,6,3,58,57,6,0 days 00:01:27.280000,220.174,22,4,4
95,6,7,2,58,14,7,0 days 00:01:27.630000,219.294,22,17,9
96,11,8,1,58,55,9,0 days 00:01:27.795000,218.882,22,3,3
97,10,9,0,58,41,12,0 days 00:01:27.966000,218.457,22,14,9
98,8,10,0,58,52,11,0 days 00:01:27.926000,218.556,22,15,7
99,13,11,0,57,57,13,0 days 00:01:27.998000,218.377,22,18,11
100,2,12,0,57,55,8,0 days 00:01:27.640000,219.269,22,5,1
101,15,13,0,57,28,16,0 days 00:01:28.303000,217.623,22,10,7
102,12,14,0,57,56,14,0 days 00:01:28.017000,218.33,22,22,11
103,17,15,0,57,40,10,0 days 00:01:27.867000,218.703,22,12,4
104,19,16,0,57,35,18,0 days 00:01:28.780000,216.454,22,16,10
105,14,17,0,57,38,15,0 days 00:01:28.180000,217.926,22,20,5
106,18,18,0,24,19,17,0 days 00:01:28.745000,216.539,22,7,5
107,16,19,0,1,0,0,0 days 00:00:00,0,22,6,3
